"tconst","primaryTitle","startYear","genres","decade","averageRating","numVotes"
"tt3966544","Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau",2014,"Adventure,Documentary","2010s",7.4,4803
"tt1078188","Boy A",2007,"Drama","2000s",7.5,40052
"tt1516593","Tilva Rosh",2010,"Drama,Romance","2010s",7.1,1178
"tt1300854","Iron Man 3",2013,"Action,Adventure,Sci-Fi","2010s",7.1,963499
"tt0095031","Dirty Rotten Scoundrels",1988,"Comedy,Crime","1980s",7.4,86001
"tt0084726","Star Trek II: The Wrath of Khan",1982,"Action,Adventure,Sci-Fi","1980s",7.7,135632
"tt1032846","4 Months, 3 Weeks and 2 Days",2007,"Drama","2000s",7.9,65729
"tt0250067","The Trip",2002,"Comedy,Drama,Romance","2000s",7,4023
"tt0070608","Robin Hood",1973,"Adventure,Animation,Comedy","1970s",7.5,149764
"tt0067274","Jo",1971,"Comedy,Crime,Thriller","1970s",7.1,4178
"tt1094627","Buddha Collapsed Out of Shame",2007,"Drama,War","2000s",7.3,2471
"tt0339862","Nobody's Life",2002,"Drama,Mystery,Thriller","2000s",7,1204
"tt0156587","Flowers of Shanghai",1998,"Drama","1990s",7.3,4593
"tt5031332","McLaren",2017,"Biography,Documentary,Drama","2010s",7.3,3014
"tt0254481","Koi... Mil Gaya",2003,"Action,Drama,Fantasy","2000s",7.2,31231
"tt8290698","The Spy Gone North",2018,"Drama,Thriller","2010s",7.4,7286
"tt0488905","The Banishment",2007,"Drama,Romance","2000s",7.5,9565
"tt7125774","Balloon",2018,"Drama,History,Thriller","2010s",7.5,14934
"tt13648212","Hive",2021,"Drama","2020s",7.1,4571
"tt15433956","Hanu Man",2024,"Action,Adventure,Fantasy","2020s",7.7,30378
"tt0069947","The Day of the Jackal",1973,"Crime,Drama,Thriller","1970s",7.8,52756
"tt0945513","Source Code",2011,"Action,Drama,Mystery","2010s",7.5,581414
"tt1568335","Jean-Michel Basquiat: The Radiant Child",2010,"Documentary","2010s",7.7,2612
"tt0123391","The Miscellaneous Brigade Strikes Again",1970,"Comedy","1970s",8.5,2079
"tt2084970","The Imitation Game",2014,"Biography,Drama,Thriller","2010s",8,876235
"tt0112851","Desperado",1995,"Action,Crime,Drama","1990s",7.1,208067
"tt0078748","Alien",1979,"Horror,Sci-Fi","1970s",8.5,1061398
"tt7231194","R.I.P.",2018,"Comedy,Drama","2010s",8.2,4284
"tt3075360","Googly",2013,"Comedy,Romance","2010s",7.5,3468
"tt0305206","American Splendor",2003,"Biography,Comedy,Drama","2000s",7.4,54672
